,Topic,Count,Name
41,9,58,9_feuer_brände_australien_sydney
42,1,53,1_h3_morissette_alanis_wörter
44,168,52,168_bayern_kovac_trainer_münchen
43,89,52,89_lehmann_mälzer_henssler_yelp
45,13,51,13_nasa_spacex_astronauten_raumstation
46,114,51,114_warburg_lübcke_staatsanwaltschaft_wöller
47,105,48,105_jährige_cornelia_staatsanwaltschaft_täter
48,141,47,141_olympischen_olympia_fußball_2021
49,178,46,178_borussia_haaland_lucien_erling
50,173,44,173_friedrich_mälzer_berliner_hamburger
51,174,43,174_rapper_baron_rap_harich
52,37,43,37_italien_virus_italienischen_italiens
55,167,42,167_trainer_hoffenheim_nagelsmann_schreuder
54,35,42,35_ring_wilder_boxer_duell
53,176,42,176_cook_condor_2019_löwisch
56,151,40,151_aktien_dollar_investoren_geld
57,125,39,125_co2_emissionen_co₂_klimaschutz
58,28,39,28_lufthansa_airlines_airline_jetlines
59,121,38,121_klimaschutz_hildebrand_energiewende_krause
60,115,37,115_mieter_vermieter_miete_mietvertrag
61,70,37,70_tour_roglic_pogacar_trikot
62,134,36,134_impfstoff_biontech_19_virus
66,58,35,58_russland_russischen_wladimir_lukaschenka
65,11,35,11_quarterback_patriots_touchdown_mahomes
64,14,35,14_neutrinos_planeten_kometen_quarks
63,3,35,3_podcast_app_19_umeinen
67,44,34,44_smartphone_huawei_google_iphone
68,79,33,79_grönland_deutschland_gisela_meteorologe
69,23,32,23_germanwings_eurowings_hammersbach_flüge
70,155,32,155_weidinger_dfb_trainer_listerien
71,127,31,127_sex_partner_orgasmus_liebe
72,117,31,117_gessner_musterhaus_vodafone_thyssen
74,12,30,12_brasilien_bolivien_brasilianische_brasiliens
75,56,30,56_irak_irakischen_irakische_angriff
73,98,30,98_rosen_pflanzen_blüten_garten
76,65,29,65_israel_annexion_israels_taliban
77,97,28,97_gans_haarschneider_schuhe_yarmolenko
78,96,28,96_grzegorz_uganda_gefängnis_staatsanwaltschaft
79,38,28,38_polizisten_minneapolis_demonstranten_rassismus
80,87,27,87_endometriose_arzt_symptome_kinderarzt
81,130,26,130_mustafa_familie_emad_schumann
82,142,26,142_muschter_000_100_eigenkapital
83,119,26,119_stuttgart_stuttgarter_matarazzo_württemberg
84,69,26,69_eishockey_oilers_edmonton_russland
85,166,26,166_bayern_werder_wolfsburg_bundesliga
88,106,25,106_bike_fahrräder_bikes_wagenknecht
89,5,25,5_kennedy_reddy_roxette_ashley
86,24,25,24_schillerstraße_gottesdienste_gottesdienst_steffens
87,52,25,52_mortezai_borschtsch_trigema_ringier
91,2,24,2_itunes_preis_kündbar_abonnement
92,156,24,156_osthaus_gerstl_wiener_gerstls
90,144,24,144_zeitumstellung_volksbank_bedford_strohm
93,17,23,17_himmel_jenseits_elhajani_campingplatz
94,104,23,104_asu_überfallen_täter_räuber
95,75,23,75_wald_plettenberg_ibisch_holz
96,81,23,81_bitburger_gluten_vöslauer_kaffee
100,92,22,92_brotkäfer_insekten_nest_wespen
101,61,22,61_jefferson_matisse_benedict_saillard
98,86,22,86_spanien_kanaren_reisewarnung_mallorca
99,46,22,46_roboter_actionfiguren_mähroboter_decentralized
97,66,22,66_depp_amber_weinstein_depps
102,175,21,175_frankfurt_hauptbahnhof_opernplatz_fahrradstadt
103,158,21,158_lagerfeld_spahn_roman_coetzee
